FacilityID,FacilityName,Type,Capacity,Location,Status,OperatingHours ,LastModifiedBy,
F001,Main Gymnasium,Gym,150,University Center Ground Floor,Available,06:00-22:30,John@webster.edu,
F002,Olympic Pool,Pool,50,University Center Ground Floor,Available,06:00-21:00,Sarah@webster.edu,
F003,Conference Room,Meeting Room,20,University Center Ground Floor,Available,06:00-22:30,Mike@webster.edu,
F004,Fitness Center,Fitness,75,University Center Ground Floor,Available,06:00-22:30,Lisa@webster.edu,
F005,Presentation Room,Meeting Room,15,University Center 1st Floor,Under Maintenance,06:00-22:30,Riley@webster.edu,
F006,Sunnen Lounge,Meeting Room,100,University Center 1st Floor,Available,06:00-22:30,Bipana@webster.edu,
F007,Basketball Court,Sports,30,University Center Ground Floor,Available,06:00-22:30,Steven@webster.edu,
F008,Multipurpose Dance Studio,Meeting Room,25,University Center 1st Floor,Available,06:00-22:30,Annamaria@webster.edu,
F009,Baseketball Training,Gym,60,University Center Ground Floor,Reserved,06:00-22:30,Dangol@webster.edu,
F010,Swimming Training ,Pool,40,University Center Ground Floor,Available,06:00-21:00,Sugat@webster.edu,
F011,Production Room,Meeting Room,12,University Center 1st Floor,Reserved,06:00-22:30,Pradip@webster.edu,
F012,Weight Training Area,Fitness,50,University Center Ground Floor,Reserved,06:00-22:30,Dusa@webster.edu,
F013,Volleyball Training,Sports,25,University Center Ground Floor,Under Maintenance,06:00-22:30,Adip@webster.edu,
F014,Racquetball Court,Sports,20,University Center Ground Floor,Available,06:00-22:30,Mike@webster.edu,
F015,Cardio Room,Fitness,55,University Center Ground Floor,Available,06:00-22:30,Emma.er@webster.edu,
F016,Dance Studio,Fitness,35,University Center 1st Floor,Reserved,06:00-22:30,Justin@webster.edu,
F017,Yoga Studio,Fitness,25,University Center 2nd Floor,Reserved,06:00-22:30,Katie@webster.edu,
F018,Esports Arena,Recreation,40,University Center 2nd Floor,Reserved,06:00-22:30,Bipana@webster.edu,
F019,Computer Lab,Lab,35,University Center 1st Floor,Available,06:00-22:30,Annamaria@webster.edu,
F020,Study Lounge,Study,60,University Center Ground Floor,Under Maintenance,06:00-22:30,Annamaria@webster.edu,
F021,Multipurpose Hall,Hall,120,University Center 1st Floor,Under Maintenance,06:00-22:30,Katie@webster.edu,
F022,Auditorium,Hall,250,University Center Ground Floor,Under Maintenance,06:00-22:30,Katie@webster.edu,
F023,Music Practice Room,Music,15,University Center Ground Floor,Reserved,06:00-22:30,Annamaria@webster.edu,
F024,Art Studio,Studio,20,University Center 2nd Floor,Under Maintenance,06:00-22:30,Bipana@webster.edu,
F025,Innovation Lab,Lab,30,University Center 2nd Floor,Available,06:00-22:30,Katie@webster.edu,
F026,Media Room,Media,25,University Center 2nd Floor,Available,06:00-22:30,Justin@webster.edu,
F027,Indoor Track,Sports,80,University Center 2nd Floor,Reserved,06:00-22:30,Bipana@webster.edu,
F028,Outdoor Tennis Court,Sports,20,University Center 2nd Floor,Available,06:00-22:30,Bipana@webster.edu,
F029,Racquetball Court 2,Sports,20,University Center 1st Floor,Under Maintenance,06:00-22:30,Katie@webster.edu,
F030,Student Event Hall,Hall,180,University Center Ground Floor,Available,06:00-22:30,Josh@webster.edu,
F031,Seminar Room,Meeting Room,35,University Center 2nd Floor,Reserved,06:00-22:30,Bipana@webster.edu,
F032,Wellness Center,Fitness,45,University Center Ground Floor,Available,06:00-22:30,Katie@webster.edu,
F033,Reading Room,Study,50,University Center 2nd Floor,Available,06:00-22:30,Justin@webster.edu,
F034,Game Room,Recreation,30,University Center 2nd Floor,Reserved,06:00-22:30,Justin@webster.edu,
F035,Training Classroom,Classroom,40,University Center 2nd Floor,Available,06:00-22:30,Bipana@webster.edu,
